id,name,code,iata,sign,country,status
1,135 Airways,,GNL,GENERAL,United States,1
2,1Time Airline,1T,RNX,NEXTIME,South Africa,1
3,2 Sqn No 1 Elementary Flying Training School,,WYT,,United Kingdom,1
4,213 Flight Unit,,TFU,,Russia,1
5,223 Flight Unit State Airline,,CHD,CHKALOVSK-AVIA,Russia,1
6,224th Flight Unit,,TTF,CARGO UNIT,Russia,1
7,247 Jet Ltd,,TWF,CLOUD RUNNER,United Kingdom,1
8,3D Aviation,,SEC,SECUREX,United States,1
9,40-Mile Air,Q5,MLA,MILE-AIR,United States,1
10,4D Air,,QRT,QUARTET,Thailand,1
11,611897 Alberta Limited,,THD,DONUT,Canada,1
12,Ansett Australia,AN,AAA,ANSETT,Australia,1
14,Abelag Aviation,W9,AAB,ABG,Belgium,1
15,Army Air Corps,,AAC,ARMYAIR,United Kingdom,1
16,Aero Aviation Centre Ltd.,,AAD,SUNRISE,Canada,1
17,Aero Servicios Ejecutivos Internacionales,,SII,ASEISA,Mexico,1
18,Aero Biniza,,BZS,BINIZA,Mexico,1
19,Aero Albatros,,ABM,ALBATROS ESPANA,Spain,1
20,Aigle Azur,ZI,AAF,AIGLE AZUR,France,1
21,Aloha Airlines,AQ,AAH,ALOHA,United States,1
22,Alaska Island Air,,AAK,ALASKA ISLAND,United States,1
23,American Airlines,AA,AAL,AMERICAN,United States,1
24,Aviation Management Corporation,,AAM,AM CORP,United States,1
25,Atlantis Airlines (USA),,AAO,ATLANTIS AIR,United States,1
26,Aerovista Airlines,,AAP,AEROVISTA GROUP,United Arab Emirates,1
27,Asiana Airlines,OZ,AAR,ASIANA,Republic of Korea,1
28,Askari Aviation,4K,AAS,AL-AAS,Pakistan,1
29,Australia Asia Airlines,,AAU,AUSTASIA,Australia,1
30,Astro Air International,,AAV,ASTRO-PHIL,United States,1
31,Afriqiyah Airways,8U,AAW,AFRIQIYAH,Libya,1
32,Afrinat International Airlines,Q9,AFU,,Gambia,1
33,Afric'air Express,,AAX,AFREX,Ivory Coast,1
34,Allegiant Air,G4,AAY,ALLEGIANT,United States,1
35,Angus Aviation,,AAZ,ANGUS,Canada,1
36,Artem-Avia,,ABA,ARTEM-AVIA,Ukraine,1
37,African Business and Transportations,,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,1
38,Aban Air,K5,ABE,ABAN,Iran,1
39,Aerial Oy,,ABF,SKYWINGS,Finland,1
40,Abakan-Avia,,ABG,ABAKAN-AVIA,Russia,1
41,ABSA - Aerolinhas Brasileiras,M3,TUS,ABSA Cargo,Brazil,1
42,Abaet,,ABJ,Abaet,Brazil,1
43,Alberta Citylink,,ABK,ALBERTA CITYLINK,Canada,1
44,APSA Colombia,,ABO,AEROEXPRESO,Colombia,1
45,Aerovias Bueno,,ABU,AEROBUENO,Colombia,1
46,Aerocenter,,ACR,Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,1
47,Antrak Air,4,ABV,ANTRAK,Ghana,1
48,Airborne Express,GB,ABX,ABEX,United States,1
49,ABX Air,GB,ABX,ABEX,United States,1
50,ATA Brasil,,ABZ,ATA-BRAZIL,Brazil,1
51,Avcard Services,,ACC,,United Kingdom,1
52,Academy Airlines,,ACD,ACADEMY,United States,1
53,Aero Comondu,,ACO,AERO COMONDU,Mexico,1
54,Astral Aviation,8V,ACP,ASTRAL CARGO,Kenya,1
55,Air Cess,,ACS,,Liberia,1
56,Air Aurora,,AAI,BOREALIS,United States,1
57,Air Cargo Transportation System,,ACU,AFRISPIRIT,Kenya,1
58,Air Charter Service,,ACV,,United Kingdom,1
59,Aero Asia International,E4,RSO,AERO ASIA,Pakistan,1
60,Air Charters,,ACX,PARAIR,Canada,1
61,Air Togo,YT,TGA,AIR TOGO,Togo,1
62,Air Somalia,,RSM,AIR SOMALIA,Somali Republic,1
63,Atlas Cargo Lines,,ACY,ATLAS CARGOLINES,Morocco,1
64,Airservices Australia,,ADA,AUSCAL,Australia,1
68,Antonov Airlines,,ADB,ANTONOV BUREAU,Ukraine,1
69,Air Atlantic Dominicana,,ADC,ATLAN-DOMINICAN,Dominican Republic,1
70,Advanced Air Co.,,ADD,,Japan,1
71,Ada Air,ZY,ADE,ADA AIR,Albania,1
72,Aerea Flying Training Organization,,ADG,AEREA TRAINING,Spain,1
73,Audeli Air,,ADI,AUDELI,Spain,1
74,Abicar,,ADJ,ABICAR,Ivory Coast,1
75,ADC Airlines,Z7,ADK,ADCO,Nigeria,1
76,Aero Dynamics,,ADL,COTSWOLD,United Kingdom,1
77,Aerolineas Dominicanas,,ADM,DOMINAIR,Dominican Republic,1
78,Aerodienst GmbH,,ADN,AERODIENST,Germany,1
79,Aerodiplomatic,,ADP,AERODIPLOMATIC,Mexico,1
80,Aerodyne,,ADY,AERODYNE,United States,1
81,Avion Taxi,,ADQ,AIR DATA,Canada,1
82,Adria Airways,JP,ADR,ADRIA,Slovenia,1
83,Aviones de Sonora,,ADS,SONORAV,Mexico,1
84,Air Dorval,,ADT,AIR DORVAL,Canada,1
85,Airdeal Oy,,ADU,AIRDEAL,Finland,1
86,Advance Air Charters,,ADV,ADVANCE,Canada,1
87,Air Andaman,,ADW,AIR ANDAMAN,Thailand,1
88,Anderson Aviation,,ADX,ANDAX,United States,1
89,Air Europa,UX,AEA,EUROPA,Spain,1
90,Air Southwest Ltd.,,ASW,AIRSOUTHWEST,Canada,1
91,Air Special,,ASX,AIRSPEC,Czech Republic,1
92,Aero Benin,EM,AEB,AEROBEN,Benin,1
93,Aerocesar,,AEC,Aerovias Del Cesar,AEROCESAR,1
94,Aerotrans Airlines,,AED,,Russia,1
95,Aegean Airlines,A3,AEE,AEGEAN,Greece,1
96,Aerofumigaciones Sam,,AEG,FUMIGACIONES SAM,Chile,1
97,Aeroexpreso Interamericano,,AEI,INTERAM,Colombia,1
98,Air Express,,AEJ,KHAKI EXPRESS,Tanzania,1
99,Aerocon,,AEK,AEROCON,Bolivia,1
100,Aero Madrid,,AEM,AEROMADRID,Spain,1
101,Aeroenlaces Nacionales,,AEN,,Mexico,1
102,Aeroservicios Ejecutivos Del Occidente,,AEO,AERO OCCIDENTE,Mexico,1
103,Aerotec,,AEP,AEROTEC,Spain,1
104,Air Atlantique,KI,AAG,ATLANTIC,United Kingdom,1
105,Air Europe,PE,AEL,AIR EUROPE,Italy,1
106,Air Alma,,AAJ,AIR ALMA,Canada,1
107,Air Express,,AEQ,LUNA,Sweden,1
108,Alaska Central Express,KO,AER,ACE AIR,United States,1
109,ACES Colombia,,AES,ACES,Colombia,1
110,Aeronautical Radio of Thailand,,AET,AEROTHAI,Thailand,1
111,Astraeus,5W,AEU,FLYSTAR,United Kingdom,1
112,Aeroventas,,AEV,AEROVENTAS,Mexico,1
113,Aerosvit Airlines,VV,AEW,AEROSVIT,Ukraine,1
114,Airway Express,,AEX,AVCO,United States,1
115,Air Italy,I9,AEY,AIR ITALY,Italy,1
116,Aerial Transit Company,,AEZ,AERIAL TRANZ,United States,1
117,Alfa Air,,AFA,BLUE ALFA,Czech Republic,1
118,American Falcon,WK,AFB,AMERICAN FALCON,Argentina,1
119,Alliance Airlines,QQ,UTY,UNITY,Australia,1
120,Air Universal,,UVS,UNI-LEONE,Sierra Leone,1
121,Auvia Air,,UVT,AUVIA,Indonesia,1
122,African West Air,,AFC,AFRICAN WEST,Senegal,1
123,Airfast Indonesia,,AFE,AIRFAST,Indonesia,1
124,Ariana Afghan Airlines,FG,AFG,ARIANA,Afghanistan,1
125,Air Fecteau,,AFH,FECTO,Canada,1
126,Africaone,,AFI,AFRICAWORLD,Uganda,1
127,Alliance,,AFJ,JAMBO,Uganda,1
128,Africa Air Links,,AFK,AFRICA LINKS,Sierra Leone,1
129,Aeroflot Russian Airlines,SU,AFL,AEROFLOT,Russia,1
130,Aero Empresa Mexicana,,AFO,AERO EMPRESA,Mexico,1
131,Air Bosna,JA,BON,AIR BOSNA,Bosnia and Herzegovina,1
132,Air Bravo,,BRF,AIR BRAVO,Uganda,1
133,Air Brasd'or,,BRL,BRASD'OR,Canada,1
134,Air 500,,BRM,BOOMERANG,Canada,1
135,Alba Servizi Aerotrasporti,,AFQ,ALBA,Italy,1
136,Air France,AF,AFR,AIRFRANS,France,1
137,Air Partner,,ACG,AIR PARTNER,United Kingdom,1
138,Air Caledonie International,SB,ACI,AIRCALIN,France,1
139,Air Caledonia,,ACM,WEST CAL,Canada,1
140,Air Guam,,AGM,AIR GUAM,United States,1
141,Air Gabon,GN,AGN,GOLF NOVEMBER,Gabon,1
142,Air Data,,AFS,,United Kingdom,1
